Category,GO BP Term,Hepatocytes,.,Patient 2177,..,Patient 2280,...,Patient 2556,....,Patient 2766,.....,Patient 3196,......,Patient 3477,.......
GOTERM_BP_5,axon cargo transport,5.00E-01,10,1.00E+00,#N/A,3.70E-01,12,1.00E+00,#N/A,5.00E-01,11,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,endoderm development,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,lymphocyte activation during immune response,1.00E+00,#N/A,2.90E-01,11,3.70E-01,12,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,positive regulation of insulin secretion,5.00E-01,10,4.70E-01,10,3.70E-01,12,1.50E-01,11,3.20E-01,12,3.40E-01,11,4.40E-01,10
GOTERM_BP_5,unsaturated fatty acid biosynthetic process,8.10E-01,15,2.80E-01,19,7.60E-01,18,2.70E-01,17,1.10E-01,23,2.20E-01,20,8.50E-01,14
GOTERM_BP_5,regulation of cell cycle process,6.70E-01,53,2.50E-01,58,2.00E-01,68,2.10E-01,52,5.50E-01,61,3.60E-01,58,5.40E-01,53
GOTERM_BP_5,camera-type eye morphogenesis,9.00E-01,18,9.30E-01,17,1.00E+00,#N/A,9.50E-01,14,9.80E-01,18,9.80E-01,16,9.60E-01,16
GOTERM_BP_5,biopolymer glycosylation,2.50E-02,73,4.90E-01,61,4.40E-01,72,1.20E-01,60,5.00E-01,69,5.10E-02,72,3.50E-01,62
GOTERM_BP_5,protein amino acid glycosylation,2.50E-02,73,4.90E-01,61,4.40E-01,72,1.20E-01,60,5.00E-01,69,5.10E-02,72,3.50E-01,62
GOTERM_BP_5,establishment or maintenance of cell polarity,7.80E-01,22,4.10E-01,25,2.10E-01,31,3.20E-01,23,1.50E-01,31,3.80E-01,26,4.80E-01,24
GOTERM_BP_5,fatty acid biosynthetic process,1.70E-01,43,9.40E-02,44,4.60E-01,45,2.20E-01,37,1.40E-01,48,1.50E-01,44,5.50E-01,37
GOTERM_BP_5,odontogenesis,3.90E-01,28,7.60E-01,24,3.80E-01,32,2.40E-01,26,6.10E-01,29,6.50E-01,26,4.10E-01,27
GOTERM_BP_5,neuron migration,1.40E-01,36,4.40E-02,38,3.10E-03,47,1.30E-01,32,1.20E-01,40,1.10E-01,37,2.80E-01,33
GOTERM_BP_5,regulation of mitotic cell cycle,7.10E-01,70,2.60E-01,76,3.90E-01,86,4.50E-01,64,6.70E-01,79,5.90E-01,73,4.30E-01,72
GOTERM_BP_5,positive regulation of translation,8.40E-01,10,8.20E-01,10,5.10E-01,14,6.30E-01,10,8.60E-01,11,4.20E-01,13,1.00E+00,#N/A
GOTERM_BP_5,actin filament-based movement,1.00E+00,#N/A,8.20E-01,10,9.00E-01,11,1.00E+00,#N/A,8.60E-01,11,8.50E-01,10,1.00E+00,#N/A
GOTERM_BP_5,vitamin A metabolic process,1.40E-01,15,5.30E-01,12,5.10E-01,14,4.70E-01,11,9.40E-01,10,8.50E-01,10,8.00E-01,10
GOTERM_BP_5,regulation of heart growth,1.00E+00,#N/A,1.00E+00,#N/A,1.30E-01,10,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,3.90E-02,10
GOTERM_BP_5,ovulation from ovarian follicle,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,positive regulation of actin filament polymerization,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,negative regulation of insulin secretion,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,positive regulation of vasodilation,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,"vesicle targeting, to, from or within Golgi",1.00E+00,#N/A,1.00E-02,11,1.30E-01,10,3.20E-03,11,1.00E-01,10,5.50E-02,10,1.00E+00,#N/A
GOTERM_BP_5,nitric oxide biosynthetic process,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E-01,10,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,"gene silencing by miRNA, production of miRNAs",1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,sarcomere organization,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,negative regulation of peptide secretion,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,endochondral ossification,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,response to copper ion,1.00E+00,#N/A,4.40E-02,10,1.30E-01,10,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,response to iron ion,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,syncytium formation by plasma membrane fusion,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,cell migration,9.30E-01,120,6.70E-01,126,3.00E-01,156,5.80E-01,112,9.70E-01,132,7.60E-01,128,9.90E-01,108
GOTERM_BP_5,regulation of cellular response to stress,1.20E-01,56,3.70E-01,51,1.00E-01,64,9.00E-02,50,2.60E-01,59,7.80E-02,58,3.80E-01,50
GOTERM_BP_5,monovalent inorganic cation transport,7.10E-01,147,9.70E-01,132,1.00E+00,#N/A,7.00E-01,126,9.20E-01,157,9.50E-01,139,8.60E-01,137
GOTERM_BP_5,negative regulation of DNA replication,8.50E-01,12,4.20E-01,15,2.00E-01,19,6.30E-01,12,6.90E-01,15,9.70E-01,10,9.50E-01,10
GOTERM_BP_5,negative regulation of cell projection organization,9.70E-01,10,5.70E-01,14,5.10E-02,21,5.70E-02,17,2.60E-01,18,4.90E-01,15,3.90E-01,15
GOTERM_BP_5,acute inflammatory response,4.80E-01,48,2.70E-01,50,4.10E-01,56,7.50E-01,38,6.70E-01,51,2.60E-02,58,6.00E-01,45
GOTERM_BP_5,myeloid cell differentiation,9.60E-01,37,8.80E-01,39,8.60E-01,47,9.60E-01,31,9.80E-01,41,9.00E-01,40,9.80E-01,34
GOTERM_BP_5,development of primary sexual characteristics,3.30E-01,64,7.90E-01,56,6.20E-01,69,3.60E-01,55,8.40E-01,63,8.70E-01,56,9.90E-01,47
GOTERM_BP_5,regulation of transporter activity,5.10E-01,17,8.40E-01,14,8.10E-01,17,9.20E-01,11,7.50E-01,17,5.40E-01,17,7.10E-01,15
GOTERM_BP_5,positive regulation of calcium ion transport,1.60E-01,20,3.50E-02,22,1.90E-01,22,1.60E-02,21,1.40E-01,22,2.80E-01,19,1.20E-02,23
GOTERM_BP_5,positive regulation of organelle organization,9.00E-01,35,7.50E-01,37,8.90E-01,41,9.80E-02,41,9.20E-01,39,6.90E-01,39,6.20E-01,38
GOTERM_BP_5,regulation of ossification,8.40E-01,34,9.00E-01,32,6.70E-01,42,2.60E-01,36,7.30E-01,40,4.00E-01,40,8.80E-01,32
GOTERM_BP_5,heart morphogenesis,9.80E-01,27,8.50E-01,31,1.00E+00,#N/A,9.90E-01,22,5.00E-01,40,5.40E-01,36,8.70E-01,30
GOTERM_BP_5,regulation of protein polymerization,9.70E-01,26,8.90E-01,28,1.00E+00,#N/A,5.10E-01,29,7.90E-01,34,9.30E-01,28,9.10E-01,27
GOTERM_BP_5,negative regulation of cell adhesion,9.30E-01,17,4.30E-01,22,7.20E-01,23,6.10E-01,18,8.30E-01,21,9.70E-01,16,9.90E-01,14
GOTERM_BP_5,regulation of actin filament length,8.60E-01,27,8.30E-01,27,8.30E-01,32,7.00E-01,25,6.70E-01,33,8.20E-01,28,8.60E-01,26
GOTERM_BP_5,negative regulation of cell development,8.20E-01,21,7.00E-01,22,1.00E-01,32,3.80E-01,22,5.90E-01,26,4.40E-01,25,6.60E-01,22
GOTERM_BP_5,regulation of proteolysis,2.50E-01,29,8.80E-02,31,9.80E-02,35,2.00E-01,26,3.40E-01,31,2.50E-02,34,7.10E-02,31
GOTERM_BP_5,regulation of mRNA processing,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,4.00E-01,11,4.30E-01,10,2.00E-01,11
GOTERM_BP_5,heme biosynthetic process,1.20E-01,12,3.90E-02,13,5.40E-02,14,2.10E-01,10,1.20E-02,15,1.60E-02,14,2.20E-03,15
GOTERM_BP_5,nucleic acid transport,4.50E-01,48,3.80E-01,48,2.30E-02,64,2.00E-01,45,2.80E-02,62,3.30E-02,57,7.00E-02,53
GOTERM_BP_5,RNA transport,4.50E-01,48,3.80E-01,48,2.30E-02,64,2.00E-01,45,2.80E-02,62,3.30E-02,57,7.00E-02,53
GOTERM_BP_5,thymus development,6.50E-01,11,4.50E-01,12,5.80E-01,13,1.00E+00,#N/A,6.80E-01,12,5.10E-01,12,5.90E-01,11
GOTERM_BP_5,initiation of viral infection,7.90E-01,10,2.90E-01,13,2.60E-01,15,1.00E+00,#N/A,5.20E-01,13,6.70E-01,11,1.00E+00,#N/A
GOTERM_BP_5,oligodendrocyte differentiation,1.00E+00,#N/A,1.00E+00,#N/A,2.60E-01,15,1.00E+00,#N/A,8.20E-01,11,1.00E+00,#N/A,7.40E-01,10
GOTERM_BP_5,pyrimidine nucleotide biosynthetic process,9.20E-02,15,4.50E-01,12,1.40E-01,16,2.50E-01,12,5.20E-01,13,3.40E-01,13,2.70E-01,13
GOTERM_BP_5,positive regulation of nucleocytoplasmic transport,1.00E+00,#N/A,7.70E-01,10,5.80E-01,13,5.70E-01,10,1.00E+00,#N/A,6.70E-01,11,4.20E-01,12
GOTERM_BP_5,regulation of neurotransmitter levels,7.00E-01,31,7.40E-01,30,8.90E-01,33,6.60E-01,27,5.80E-01,36,9.20E-01,28,5.10E-01,32
GOTERM_BP_5,RNA 3'-end processing,5.40E-01,14,1.30E-01,17,6.90E-02,20,8.40E-02,16,1.00E-01,19,4.10E-01,15,3.20E-01,15
GOTERM_BP_5,visual learning,6.90E-01,13,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,9.70E-01,11,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,cardiac muscle tissue morphogenesis,1.00E+00,#N/A,8.80E-01,11,1.00E+00,#N/A,1.00E+00,#N/A,6.10E-01,15,5.70E-01,14,1.00E+00,#N/A
GOTERM_BP_5,muscle tissue morphogenesis,1.00E+00,#N/A,8.80E-01,11,1.00E+00,#N/A,1.00E+00,#N/A,6.10E-01,15,5.70E-01,14,1.00E+00,#N/A
GOTERM_BP_5,regulation of cell-matrix adhesion,8.10E-01,12,6.50E-01,13,8.00E-01,14,7.10E-01,11,9.30E-01,12,9.10E-01,11,1.00E+00,#N/A
GOTERM_BP_5,ovulation cycle process,6.80E-01,29,5.30E-01,30,7.20E-01,33,1.30E-01,31,7.10E-01,32,7.10E-01,29,9.30E-01,24
GOTERM_BP_5,centrosome organization,2.00E-01,19,3.10E-03,24,2.30E-01,21,5.30E-02,19,2.20E-02,24,7.00E-02,21,1.80E-02,22
GOTERM_BP_5,DNA metabolic process,2.80E-01,247,6.00E-03,264,3.30E-02,297,1.10E-02,232,3.70E-02,288,6.00E-02,261,7.80E-02,248
GOTERM_BP_5,positive regulation of cell growth,4.20E-01,22,3.80E-01,22,3.10E-01,26,3.20E-01,20,3.40E-01,25,1.50E-01,25,3.40E-01,22
GOTERM_BP_5,cell cycle checkpoint,6.20E-01,43,4.80E-01,44,2.80E-02,60,5.40E-01,38,7.70E-01,46,9.00E-01,39,6.70E-01,41
GOTERM_BP_5,regulation of cardiac muscle cell proliferation,1.00E+00,#N/A,1.00E+00,#N/A,6.00E-02,10,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.60E-02,10
GOTERM_BP_5,positive regulation of erythrocyte differentiation,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,regulation of proteasomal ubiquitin-dependent protein catabolic process,1.00E+00,#N/A,1.90E-02,10,1.30E-02,11,1.00E+00,#N/A,1.00E+00,#N/A,2.40E-02,10,2.50E-03,11
GOTERM_BP_5,negative regulation of cell-substrate adhesion,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,actin filament polymerization,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,regulation of cardiac muscle tissue development,1.00E+00,#N/A,1.00E+00,#N/A,6.00E-02,10,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.60E-02,10
GOTERM_BP_5,cytoplasmic sequestering of transcription factor,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,myoblast fusion,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,regulation of myoblast differentiation,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,mitochondrion morphogenesis,1.00E+00,#N/A,1.00E+00,#N/A,6.00E-02,10,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,establishment of pigment granule localization,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,regulation of cardiac muscle growth,1.00E+00,#N/A,1.00E+00,#N/A,6.00E-02,10,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.60E-02,10
GOTERM_BP_5,regulation of TOR signaling pathway,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,lipopolysaccharide-mediated signaling pathway,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,regulation of membrane potential,8.80E-01,58,6.20E-01,62,7.30E-01,71,9.60E-01,46,6.50E-01,70,9.40E-01,57,7.40E-01,59
GOTERM_BP_5,regulation of epithelial cell proliferation,1.70E-01,39,6.40E-01,33,2.50E-01,43,1.90E-01,34,5.00E-01,39,4.50E-01,36,4.90E-01,34
GOTERM_BP_5,positive regulation of developmental growth,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,3.40E-01,10,1.00E+00,#N/A
GOTERM_BP_5,membrane budding,3.20E-01,10,6.10E-02,12,3.50E-01,11,2.20E-02,12,6.00E-02,13,1.80E-01,11,5.40E-02,12
GOTERM_BP_5,regulation of blood vessel endothelial cell migration,3.20E-01,10,1.00E+00,#N/A,5.40E-01,10,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,negative regulation of immune effector process,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,viral genome replication,3.20E-01,10,1.00E+00,#N/A,7.80E-02,13,1.00E+00,#N/A,4.90E-01,10,3.40E-01,10,1.00E+00,#N/A
GOTERM_BP_5,DNA replication initiation,1.00E+00,#N/A,6.10E-02,12,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,regulation of S phase of mitotic cell cycle,3.20E-01,10,1.50E-01,11,7.80E-02,13,1.00E+00,#N/A,6.00E-02,13,1.80E-01,11,1.00E+00,#N/A
GOTERM_BP_5,response to vitamin D,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,endochondral bone morphogenesis,1.00E+00,#N/A,1.00E+00,#N/A,5.40E-01,10,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,branched chain family amino acid metabolic process,1.00E+00,#N/A,1.00E+00,#N/A,3.50E-01,11,1.50E-01,10,4.90E-01,10,7.70E-02,12,5.40E-02,12
GOTERM_BP_5,regulation of cellular catabolic process,2.50E-01,33,6.80E-01,28,2.80E-01,37,6.30E-01,25,8.90E-01,29,6.70E-01,29,3.30E-01,31
GOTERM_BP_5,regulation of actin polymerization or depolymerization,8.70E-01,26,8.40E-01,26,8.30E-01,31,7.20E-01,24,6.70E-01,32,8.30E-01,27,8.70E-01,25
GOTERM_BP_5,regulation of neuron differentiation,3.90E-01,66,2.60E-01,67,5.50E-02,83,3.20E-02,66,2.80E-01,75,1.60E-01,71,1.60E-01,68
GOTERM_BP_5,RNA elongation,4.00E-03,35,2.10E-01,28,2.70E-02,36,3.00E-01,24,3.30E-01,30,1.90E-01,29,4.70E-01,25
GOTERM_BP_5,cAMP metabolic process,5.70E-01,11,7.10E-01,10,6.60E-01,12,1.00E+00,#N/A,8.70E-01,10,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,gastrulation with mouth forming second,4.00E-01,12,2.20E-01,13,8.70E-02,16,3.30E-01,11,1.40E-01,15,6.60E-02,15,4.30E-02,15
GOTERM_BP_5,G1 phase,2.50E-01,13,2.20E-01,13,3.50E-02,17,3.30E-01,11,4.30E-01,13,6.00E-01,11,5.10E-01,11
GOTERM_BP_5,patterning of blood vessels,2.50E-01,13,1.80E-02,16,1.10E-02,18,9.40E-02,13,1.40E-01,15,1.40E-01,14,1.00E-01,14
GOTERM_BP_5,positive regulation of leukocyte mediated cytotoxicity,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,7.50E-01,10,6.80E-01,10
GOTERM_BP_5,neutral amino acid transport,2.50E-01,13,3.70E-01,12,1.80E-01,15,1.90E-01,12,4.30E-01,13,4.20E-01,12,3.40E-01,12
GOTERM_BP_5,negative regulation of synaptic transmission,7.30E-01,10,5.40E-01,11,8.00E-01,11,3.30E-01,11,6.00E-01,12,6.00E-01,11,6.80E-01,10
GOTERM_BP_5,"retrograde vesicle-mediated transport, Golgi to ER",1.30E-01,14,1.80E-02,16,8.70E-02,16,9.40E-02,13,2.70E-01,14,6.60E-02,15,1.00E-01,14
GOTERM_BP_5,positive regulation of nitric oxide biosynthetic process,1.30E-01,14,1.10E-01,14,3.20E-01,14,5.00E-01,10,6.00E-01,12,2.60E-01,13,3.40E-01,12
GOTERM_BP_5,release of cytochrome c from mitochondria,1.00E+00,#N/A,5.40E-01,11,1.80E-01,15,1.00E+00,#N/A,7.50E-01,11,7.50E-01,10,6.80E-01,10
GOTERM_BP_5,regulation of cell-substrate adhesion,8.30E-01,20,7.10E-01,21,8.50E-01,23,6.40E-01,19,9.20E-01,21,8.50E-01,20,9.10E-01,18
GOTERM_BP_5,vasculogenesis,8.90E-01,17,5.60E-01,20,6.00E-01,23,3.90E-01,19,3.90E-01,24,6.40E-01,20,2.90E-01,22
GOTERM_BP_5,regulation of production of molecular mediator of immune response,8.90E-01,17,9.90E-01,13,1.00E+00,#N/A,9.90E-01,11,9.90E-01,15,1.00E+00,11,1.00E+00,11
GOTERM_BP_5,positive regulation of oxidoreductase activity,1.90E-01,16,4.30E-01,14,4.50E-01,16,3.50E-01,13,5.30E-01,15,3.40E-01,15,5.50E-01,13
GOTERM_BP_5,glial cell development,6.20E-01,13,7.30E-01,12,1.80E-01,18,1.00E+00,#N/A,6.80E-01,14,8.80E-01,11,4.00E-01,14
GOTERM_BP_5,nerve-nerve synaptic transmission,3.80E-01,17,9.60E-01,11,8.90E-01,15,1.00E+00,#N/A,6.20E-01,17,9.40E-01,12,9.10E-01,12
GOTERM_BP_5,monosaccharide transport,8.70E-01,13,9.20E-01,12,5.60E-01,18,5.10E-01,14,8.50E-01,15,8.00E-01,14,4.50E-01,16
GOTERM_BP_5,positive regulation of smooth muscle cell proliferation,9.30E-01,12,3.40E-01,17,9.40E-02,22,3.70E-01,15,7.50E-01,16,4.10E-01,17,5.90E-01,15
GOTERM_BP_5,regulation of microtubule polymerization or depolymerization,7.80E-01,14,7.50E-01,14,6.90E-01,17,7.80E-01,12,4.80E-01,18,6.90E-01,15,7.20E-01,14
GOTERM_BP_5,icosanoid biosynthetic process,9.30E-01,12,2.20E-01,18,6.90E-01,17,1.40E-01,17,1.30E-01,21,2.80E-01,18,8.30E-01,13
GOTERM_BP_5,visual behavior,6.60E-01,15,9.60E-01,11,1.00E+00,#N/A,1.00E+00,#N/A,9.60E-01,13,1.00E+00,#N/A,9.80E-01,10
GOTERM_BP_5,cytokine-mediated signaling pathway,6.50E-01,33,5.00E-01,34,4.60E-01,40,7.60E-01,27,5.40E-01,38,3.20E-01,37,3.50E-01,35
GOTERM_BP_5,DNA catabolic process,1.70E-02,38,1.70E-01,33,3.20E-01,36,3.10E-02,33,5.20E-01,33,1.70E-01,34,5.60E-02,35
GOTERM_BP_5,secretion by cell,6.80E-01,96,6.90E-01,94,6.20E-01,112,5.30E-01,85,5.90E-01,109,7.40E-01,96,7.60E-01,91
GOTERM_BP_5,negative regulation of nitrogen compound metabolic process,7.90E-01,238,9.70E-01,222,2.60E-01,291,7.20E-01,206,9.30E-01,259,9.60E-01,231,9.20E-01,223
GOTERM_BP_5,monocarboxylic acid transport,8.80E-01,21,8.50E-01,21,1.00E+00,#N/A,3.60E-01,23,7.00E-01,26,9.00E-01,21,7.40E-01,22
GOTERM_BP_5,negative regulation of response to external stimulus,7.30E-01,23,9.50E-01,19,6.90E-01,27,4.70E-01,22,8.60E-01,24,4.40E-01,26,8.30E-01,21
GOTERM_BP_5,positive regulation of cell motion,8.80E-01,42,3.40E-01,49,7.80E-01,51,6.00E-01,40,9.70E-01,44,6.90E-01,46,9.50E-01,38
GOTERM_BP_5,negative regulation of neurogenesis,8.00E-01,20,7.60E-01,20,1.80E-01,29,4.70E-01,20,6.40E-01,24,6.20E-01,22,7.30E-01,20
GOTERM_BP_5,nucleosome organization,2.30E-01,49,1.40E-04,62,7.80E-04,67,4.90E-04,55,2.50E-04,67,8.30E-05,64,2.60E-01,47
GOTERM_BP_5,positive regulation of epithelial cell differentiation,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,positive regulation of muscle cell differentiation,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,Golgi vesicle budding,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,lymphocyte apoptosis,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,osteoblast development,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,COPI coating of Golgi vesicle,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,regulation of meiotic cell cycle,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,response to purine,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,ectodermal gut development,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,regulation of activin receptor signaling pathway,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,ectodermal gut morphogenesis,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,establishment of spindle localization,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,positive regulation of blood coagulation,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,regulation of muscle adaptation,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,establishment of melanosome localization,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,ER overload response,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,glucocorticoid metabolic process,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,pigment granule transport,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
